STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,DAPR,DAPR_ATTRIBUTES,DASF,DASF_ATTRIBUTES,MDPR,MDPR_ATTRIBUTES,MDSF,MDSF_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TOBS,TOBS_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT04,WT04_ATTRIBUTES,WT05,WT05_ATTRIBUTES,WT06,WT06_ATTRIBUTES,WT11,WT11_ATTRIBUTES,WT14,WT14_ATTRIBUTES
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,4/23/61,,,,,,,,,0,",,0",0,",,0",0,",,0",66,",,0",42,",,0",62,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,4/24/61,,,,,,,,,0.47,",,0",0,",,0",0,",,0",65,",,0",45,",,0",45,",,0",1,",,0",,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,4/25/61,,,,,,,,,0.75,",,0",0,",,0",0,",,0",46,",,0",39,",,0",41,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,4/26/61,,,,,,,,,0,",,0",0,",,0",0,",,0",51,",,0",38,",,0",50,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,4/27/61,,,,,,,,,0.02,",,0",0,",,0",0,",,0",59,",,0",46,",,0",49,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,4/28/61,,,,,,,,,0.26,",,0",0.2,",,0",0,",,0",50,",,0",33,",,0",45,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,4/29/61,,,,,,,,,0,",,0",0,",,0",0,",,0",51,",,0",35,",,0",49,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,4/30/61,,,,,,,,,0,",,0",0,",,0",0,",,0",58,",,0",40,",,0",53,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,5/1/61,,,,,,,,,0,",,0",0,",,0",0,",,0",54,",,0",31,",,0",44,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,5/2/61,,,,,,,,,0,",,0",0,",,0",0,",,0",49,",,0",33,",,0",48,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,5/3/61,,,,,,,,,0,",,0",0,",,0",0,",,0",54,",,0",37,",,0",51,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,5/4/61,,,,,,,,,0,",,0",0,",,0",0,",,0",63,",,0",33,",,0",61,",,0",,,,,,,,,,,,,,
