STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,DAPR,DAPR_ATTRIBUTES,MDPR,MDPR_ATTRIBUTES,MDSF,MDSF_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TOBS,TOBS_ATTRIBUTES,WESD,WESD_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT04,WT04_ATTRIBUTES,WT05,WT05_ATTRIBUTES,WT06,WT06_ATTRIBUTES,WT11,WT11_ATTRIBUTES
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,4/2/00,,,,,,,0,"P,,0",0,"P,,0",0,"P,,0",60,",,0",42,",,0",45,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,4/3/00,,,,,,,0,"P,,0",0,"P,,0",0,"P,,0",61,",,0",43,",,0",47,",I,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,4/4/00,,,,,,,0,"P,,0",0,"P,,0",0,"P,,0",42,",I,0",35,",,0",35,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,4/5/00,,,,,,,,,,,0,"T,,0",61,",,0",27,",,0",40,",I,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,4/6/00,,,,,,,0,"P,,0",0,"P,,0",0,"P,,0",57,",,0",42,",I,0",49,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,4/7/00,,,,,,,0,"P,,0",0,"P,,0",0,"P,,0",48,",,0",35,",,0",37,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,4/8/00,,,,,,,,,1.5,",,0",,,43,",,0",29,",,0",31,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,4/9/00,,,,,,,,,,,,,36,",I,0",25,",,0",38,",I,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,4/10/00,,,,,,,0,"P,,0",0,"P,,0",,,39,",,0",30,",,0",38,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,4/11/00,,,,,,,0,"P,,0",0,"P,,0",,,55,",,0",31,",,0",31,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,4/12/00,,,,,,,0,"P,,0",0,"P,,0",0,"P,,0",38,",,0",29,",,0",35,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,4/13/00,,,,,,,0,"P,,0",0,"P,,0",0,"P,,0",49,",,0",30,",,0",35,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,4/14/00,,,,,,,0,"P,,0",0,"P,,0",0,",,0",59,",,0",36,",,0",54,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,4/15/00,,,,,,,0,"P,,0",0,"P,,0",0,"P,,0",70,",,0",42,",,0",60,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,4/16/00,,,,,,,0,"P,,0",0,"P,,0",0,"P,,0",73,",,0",52,",,0",52,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,4/17/00,,,,,,,0,"P,,0",0,"P,,0",0,"P,,0",57,",,0",37,",,0",40,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,4/18/00,,,,,,,,,0,",,0",0,"T,,0",53,",,0",39,",,0",41,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,4/19/00,,,,,,,0,"P,,0",0,"P,,0",0,"P,,0",54,",,0",42,",,0",50,",,0",,,,,,,,,,,,,,
